name;id;description;vendorId;link;preDefined
H3C SECBLADEIII;2010;H3C Product Series;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2010', '@rel': 'self', '@op': 'GET'};true
HP 870;2011;HP Product Series;7;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2011', '@rel': 'self', '@op': 'GET'};true
HP 5930;2013;HP Product Series;7;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2013', '@rel': 'self', '@op': 'GET'};true
HP Wireless;2014;HP Product Series;7;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2014', '@rel': 'self', '@op': 'GET'};true
HP TippingPoint NGFW;2015;HP Product Series;7;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2015', '@rel': 'self', '@op': 'GET'};true
H3C MSR3600;2016;H3C Product Series;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2016', '@rel': 'self', '@op': 'GET'};true
HP MSR2004;2017;HP Product Series;7;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2017', '@rel': 'self', '@op': 'GET'};true
H3C S3110-SI;2018;H3C Product Series;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2018', '@rel': 'self', '@op': 'GET'};true
H3C S5110-SI;2019;H3C Product Series;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2019', '@rel': 'self', '@op': 'GET'};true
H3C WX3500E;2020;H3C Product Series;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2020', '@rel': 'self', '@op': 'GET'};true
HP SDN Controller;2021;HP Product Series;7;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2021', '@rel': 'self', '@op': 'GET'};true
H3C S7000;2022;H3C Product Series;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2022', '@rel': 'self', '@op': 'GET'};true
Huawei AR2220;2023;Huawei Product Series;5;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2023', '@rel': 'self', '@op': 'GET'};true
Huawei S5700;2024;Huawei Product Series;5;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2024', '@rel': 'self', '@op': 'GET'};true
H3C FlexNetwork B6300;2026;H3C Product Series;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2026', '@rel': 'self', '@op': 'GET'};true
H3C S5130-EI;2027;H3C Product Series;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2027', '@rel': 'self', '@op': 'GET'};true
H3C SDN Controller;2028;H3C Product Series;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2028', '@rel': 'self', '@op': 'GET'};true
H3C MSR800_830;2029;H3C Product Series;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2029', '@rel': 'self', '@op': 'GET'};true
H3C MSR900E;2030;H3C Product Series;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2030', '@rel': 'self', '@op': 'GET'};true
HP 1920;2031;HP Product Series;7;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2031', '@rel': 'self', '@op': 'GET'};true
NEC QX53;2032;NEC Product Series;145;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2032', '@rel': 'self', '@op': 'GET'};true
H3C MS4300;2033;H3C Product Series;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2033', '@rel': 'self', '@op': 'GET'};true
HP MSR1002-4;2034;HP Product Series;7;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2034', '@rel': 'self', '@op': 'GET'};true
NEC S5820V2;2035;NEC Product Series;145;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2035', '@rel': 'self', '@op': 'GET'};true
H3C S6300;2036;H3C Product Series;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2036', '@rel': 'self', '@op': 'GET'};true
HP 5700;2037;HP Product Series;7;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2037', '@rel': 'self', '@op': 'GET'};true
H3C U8300;2038;H3C Product Series;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2038', '@rel': 'self', '@op': 'GET'};true
HP 1620;2039;HP Product Series;7;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2039', '@rel': 'self', '@op': 'GET'};true
H3C S5130-EI;2040;H3C Product Series;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2040', '@rel': 'self', '@op': 'GET'};true
HP 1950;2041;HP Product Series;7;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2041', '@rel': 'self', '@op': 'GET'};true
HP 5130EI;2042;HP Product Series;7;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2042', '@rel': 'self', '@op': 'GET'};true
HP SecPath LB;2043;HP Product Series;7;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2043', '@rel': 'self', '@op': 'GET'};true
H3C SECPATH VMSG;2044;H3C Product Series;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2044', '@rel': 'self', '@op': 'GET'};true
H3C WX2500E Series;2045;H3C Product Series;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2045', '@rel': 'self', '@op': 'GET'};true
H3C WAC360 Series;2046;H3C Product Series;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2046', '@rel': 'self', '@op': 'GET'};true
H3C S5800-F series;2047;H3C Product Series;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2047', '@rel': 'self', '@op': 'GET'};true
H3C S6300-F series;2048;H3C Product Series;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2048', '@rel': 'self', '@op': 'GET'};true
H3C RA100 series;2052;HP Product Series;1;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/series/2052', '@rel': 'self', '@op': 'GET'};true
