name;preDefined;contact;iconId;description;link;phone;id
HanA Systems;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/117', '@rel': 'self', '@op': 'GET'};;117
Hirschmann;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/118', '@rel': 'self', '@op': 'GET'};;118
Hitachi;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/119', '@rel': 'self', '@op': 'GET'};;119
Hughes Electronics;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/120', '@rel': 'self', '@op': 'GET'};;120
Hughes LAN Systems;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/121', '@rel': 'self', '@op': 'GET'};;121
IneoQuest;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/122', '@rel': 'self', '@op': 'GET'};;122
Intermec Technologies;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/123', '@rel': 'self', '@op': 'GET'};;123
IQ in Vision;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/124', '@rel': 'self', '@op': 'GET'};;124
Karlnet;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/125', '@rel': 'self', '@op': 'GET'};;125
Kasenna Inc.;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/126', '@rel': 'self', '@op': 'GET'};;126
Konica;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/127', '@rel': 'self', '@op': 'GET'};;127
LANCAST;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/128', '@rel': 'self', '@op': 'GET'};;128
Lantronix;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/129', '@rel': 'self', '@op': 'GET'};;129
Livingston Enterprises;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/130', '@rel': 'self', '@op': 'GET'};;130
LXE;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/131', '@rel': 'self', '@op': 'GET'};;131
Martin Communications;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/132', '@rel': 'self', '@op': 'GET'};;132
McAfee;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/133', '@rel': 'self', '@op': 'GET'};;133
Memorex Telex;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/134', '@rel': 'self', '@op': 'GET'};;134
Mercom Systems;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/135', '@rel': 'self', '@op': 'GET'};;135
Meru Networks;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/136', '@rel': 'self', '@op': 'GET'};;136
Micro Technology;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/137', '@rel': 'self', '@op': 'GET'};;137
Minolta;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/138', '@rel': 'self', '@op': 'GET'};;138
MIPS;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/139', '@rel': 'self', '@op': 'GET'};;139
Motorola;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/140', '@rel': 'self', '@op': 'GET'};;140
Moxa Technologies;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/141', '@rel': 'self', '@op': 'GET'};;141
MRV Communications;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/142', '@rel': 'self', '@op': 'GET'};;142
NCD;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/143', '@rel': 'self', '@op': 'GET'};;143
NCR;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/144', '@rel': 'self', '@op': 'GET'};;144
NEC;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/145', '@rel': 'self', '@op': 'GET'};;145
Neoware Systems;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/146', '@rel': 'self', '@op': 'GET'};;146
NetApp;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/147', '@rel': 'self', '@op': 'GET'};;147
NetScout;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/148', '@rel': 'self', '@op': 'GET'};;148
Net-SNMP;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/149', '@rel': 'self', '@op': 'GET'};;149
NetStar;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/150', '@rel': 'self', '@op': 'GET'};;150
Network Equipment Technologies;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/151', '@rel': 'self', '@op': 'GET'};;151
Network Research Corporation;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/152', '@rel': 'self', '@op': 'GET'};;152
NICE Systems;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/153', '@rel': 'self', '@op': 'GET'};;153
Nokia;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/154', '@rel': 'self', '@op': 'GET'};;154
Nomadix;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/155', '@rel': 'self', '@op': 'GET'};;155
Novell;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/156', '@rel': 'self', '@op': 'GET'};;156
NxNetworks;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/157', '@rel': 'self', '@op': 'GET'};;157
Oce Nederland;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/158', '@rel': 'self', '@op': 'GET'};;158
Okidata;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/159', '@rel': 'self', '@op': 'GET'};;159
Omnitronix;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/160', '@rel': 'self', '@op': 'GET'};;160
Open Source;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/161', '@rel': 'self', '@op': 'GET'};;161
Opto 22;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/162', '@rel': 'self', '@op': 'GET'};;162
Packeteer;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/163', '@rel': 'self', '@op': 'GET'};;163
PairGain Technologies;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/164', '@rel': 'self', '@op': 'GET'};;164
Paradyne;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/165', '@rel': 'self', '@op': 'GET'};;165
PaxComm;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/166', '@rel': 'self', '@op': 'GET'};;166
PEER Networks;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/167', '@rel': 'self', '@op': 'GET'};;167
Phoenix Contact;true;;2005;;{'@href': 'http://192.168.20.21:8080/imcrs/plat/res/vendor/168', '@rel': 'self', '@op': 'GET'};;168
